walkerId,totalWalks,firstWalk,lastWalk,signupTime,didDemandOrWalk,lifetime,averageLifetime,averageWalk,firstWalkAfterSignup,firstWalkinWeek,lastMonthWalks,activityTag,differentDistrictCount,activeLifeTime,totalActiveDayCount,walkFrequency,dailyWalkAverage,totalDemandCount,last30DaysDemandCount,weeklyAverageDemandCount
5895d554-bd86-4bca-b051-8f9cd0db75ae,,,,2019-04-10 10:30:29.311,No,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,0.0,0.0,NaN
40d0a914-9a2d-4a16-8c4f-86878b95fd07,3.0,2020-11-28 12:26:59.292,2020-12-02 13:50:28.360,2020-10-30 10:15:35.491,Yes,33.0,Less,Less,29.0,No,0.0,NotActive,1.0,4 days 01:23:29.068000,0 days 02:38:23.439000,36.89286246799711,27.27433721624351,15.0,0.0,25.874972520676508
b688cf9e-6d80-4c03-9022-ac97e05f2c1a,3.0,2019-12-26 14:00:00.000,2020-01-31 07:00:00.000,2019-12-17 15:29:50.464,Yes,44.0,Less,Less,8.0,No,0.0,NotActive,1.0,35 days 17:00:00,0 days 02:37:22.078000,326.75010733866003,27.45158428049419,0.0,0.0,0.0
d0bff319-b2f4-43be-a482-56fc82712740,1.0,2019-08-21 10:00:00.000,2019-08-21 10:00:00.000,2019-07-31 13:21:09.998,Yes,20.0,Less,Less,20.0,No,0.0,NotActive,1.0,0 days 00:00:00,-18 days +08:35:19.492000,-0.0,-0.05668248038765841,0.0,0.0,NaN
9948aac6-7617-4641-9e0f-feabb2101e87,2.0,2020-12-24 12:04:58.406,2021-01-13 16:24:08.865,2020-12-22 13:27:16.366,Yes,22.0,Less,Less,1.0,No,0.0,NotActive,1.0,20 days 04:19:10.459000,0 days 01:43:44.082000,280.1297378472841,27.763130370069028,24.0,0.0,8.325081688960744
a95e9032-3978-4a53-909d-cf010fd0fe64,,,,2020-03-02 10:03:21.003,No,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,0.0,0.0,NaN
a092f684-36dc-470f-8765-bfafadc1f860,,,,2020-01-27 13:09:06.868,No,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,0.0,0.0,NaN
f3a803f7-0e64-4143-b255-8fc23a81db84,,,,2020-12-13 11:29:40.496,Yes,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,5.0,0.0,NaN
3742f7a4-c989-48ff-8690-2737fe333663,,,,2020-02-14 14:42:16.938,Yes,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,8.0,0.0,NaN
84568695-90b3-4728-b9c0-01d9a9830ca8,,,,2020-03-02 19:30:07.338,No,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,0.0,0.0,NaN
387a0647-6362-42a8-8b6e-2971e12fbde3,1.0,2020-01-14 17:42:20.322,2020-01-14 17:42:20.322,2020-01-11 13:56:22.702,Yes,3.0,Less,Less,3.0,No,0.0,NotActive,1.0,0 days 00:00:00,0 days 00:47:56.470000,0.0,30.036815958449075,0.0,0.0,NaN
42658cf5-7130-4bc8-a284-583a062a4d72,1.0,2019-09-05 16:31:50.336,2019-09-05 16:31:50.336,2019-09-01 11:52:42.694,Yes,4.0,Less,Less,4.0,No,0.0,NotActive,1.0,0 days 00:00:00,0 days 00:33:07.165000,0.0,43.47902665354915,0.0,0.0,NaN
5b7337bc-ccab-40fd-b706-33880e61813a,,,,2019-06-14 11:35:11.330,No,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,0.0,0.0,NaN
43644236-2807-453a-ba66-57a080efc1bb,4.0,2021-01-21 06:30:00.000,2021-02-23 11:30:00.000,2021-01-17 13:30:45.222,Yes,36.0,Less,Less,3.0,No,2.0,Active,1.0,33 days 05:00:00,0 days 03:45:25.742000,212.12884291301728,25.551278443726044,18.0,8.0,3.7942283563362604
e002a8d5-28f2-4b23-ac91-5cbe60037419,3.0,2020-02-15 07:30:00.000,2020-03-09 11:30:00.000,2020-02-11 09:45:06.282,Yes,27.0,Less,Less,3.0,No,0.0,NotActive,3.0,23 days 04:00:00,0 days 02:23:40.935000,232.17899218588244,30.06634431184089,0.0,0.0,0.0
e7d5b50e-b727-48e1-a89f-55ea266a4248,251.0,2019-05-31 06:00:00.000,2020-11-27 07:00:00.000,2019-05-22 09:31:58.717,Yes,554.0,More,More,8.0,No,0.0,NotActive,2.0,546 days 01:00:00,185 days 14:12:12.453000,2.942164658650731,1.3524303627403282,72.0,0.0,0.9230064860740176
2d72089e-070d-47ef-a51e-0a4d3704b868,2.0,2020-11-26 15:30:00.000,2020-11-27 10:24:38.059,2020-11-22 17:42:10.712,Yes,4.0,Less,Less,3.0,No,0.0,NotActive,1.0,0 days 18:54:38.059000,0 days 01:36:43.124000,11.731277670440956,29.777064905040806,8.0,0.0,71.07135648506078
5cbfa5ce-a96c-4e1e-be77-c65b71a3a965,10.0,2019-03-03 14:00:00.000,2019-05-19 17:00:00.000,2019-01-02 17:47:05.280,Yes,136.0,More,Less,59.0,No,0.0,NotActive,1.0,77 days 03:00:00,2 days 02:02:09.067000,36.99347424033457,4.796560679459912,0.0,0.0,0.0
b3b9ad7d-c1e5-4ed0-aedc-10e4e099208b,4.0,2020-02-15 12:00:00.000,2020-03-06 14:45:00.000,2020-02-14 11:11:23.935,Yes,21.0,Less,Less,1.0,No,0.0,NotActive,2.0,20 days 02:45:00,0 days 02:56:19.426000,164.27167220603462,32.66717872973449,0.0,0.0,0.0
d028ac1f-b522-4053-8d3b-8b2a949dafa2,1.0,2019-12-23 14:00:00.000,2019-12-23 14:00:00.000,2019-05-22 11:35:10.834,Yes,215.0,More,Less,215.0,No,0.0,NotActive,1.0,0 days 00:00:00,0 days 00:56:27.899000,0.0,25.502531214773523,0.0,0.0,NaN
a60a0eae-a8a0-459b-815f-ac72b5d90772,3.0,2020-09-14 17:21:41.511,2020-09-16 15:42:25.195,2020-09-14 11:35:16.073,Yes,2.0,Less,Less,0.0,No,0.0,NotActive,1.0,1 days 22:20:43.684000,-1 days +23:57:30.761000,-1117.9630257506415,-1736.8114232874784,55.0,0.0,199.37224594009803
4ad3ddfc-e004-4e7c-abba-b450d5eb3062,17.0,2020-11-16 18:41:00.000,2021-02-23 13:30:00.000,2020-11-15 12:40:04.813,Yes,100.0,More,Less,1.0,No,5.0,Active,1.0,98 days 18:49:00,2 days 19:41:40.922000,35.02219002683954,6.0270596760401265,15.0,2.0,1.0629248711765986
804cd418-ecd4-4ae4-9421-45eac30b93d8,,,,2020-02-03 15:45:03.669,No,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,0.0,0.0,NaN
9963b6cd-78d2-43e4-9d18-ff6d258ef631,,,,2019-11-18 21:39:14.841,No,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,0.0,0.0,NaN
c423ed42-53b2-4422-a1bb-13bfd3507d96,,,,2020-02-06 11:52:55.967,No,,NaN,,,No,0.0,NotActive,,,0 days 00:00:00,0.0,0.0,0.0,0.0,NaN
b2a34c67-3988-4421-9322-90359389382a,1.0,2021-01-21 16:45:00.000,2021-01-21 16:45:00.000,2021-01-17 09:40:24.719,Yes,4.0,Less,Less,4.0,No,0.0,NotActive,1.0,0 days 00:00:00,0 days 00:46:17.838000,0.0,31.103325679899257,2.0,0.0,NaN
