walkerId,firstService,returnFromLoss,returnFromPassive,retained
c7a1c074-4ac3-4381-9f56-d2b11c1076ac,37,0,0,227
729312a9-816b-4360-8600-84bd322fea73,3,0,0,10
5e784acc-5555-4c75-9c50-03df7d74b3e8,5,0,0,5
2d4389e3-7cae-4cf9-bf7a-9443f82c2452,16,0,0,20
7504e48a-8c42-4367-a26b-d5eb44bd6465,1,1,0,1
1c69b771-114f-4061-b9f3-1ef8c3505de7,18,1,0,38
0ab3e600-4f94-424c-9b83-f605d72476c4,1,14,0,16
c6f2193d-bf18-4c0d-99a8-5dbd6fa6b474,11,0,0,12
9717e4ec-b3ea-423b-9773-3eeed3979ec0,3,17,9,49
1bb018c2-959d-4be7-8f90-d2d83f3a2104,12,0,0,19
2b3b888d-136d-422b-a9f5-12518e848047,3,0,0,37
aec079a3-05fc-44cd-aa71-1cbab1c27a32,12,2,4,24
85e39996-b33c-40bc-b1c9-a0816810cbbd,2,0,0,2
c2db74dc-506c-4db3-83c8-57d0b5d9aef7,18,0,0,31
615b4c00-4a3d-41bd-ae88-97d9e2485b0e,7,0,0,24
5e2470c2-982c-48bb-b006-d52332b0bac9,11,0,0,166
9038bf71-1166-4a85-8b67-0cd4c574677c,3,0,0,9
3231c9fe-c56e-4846-bb09-930fec46397e,9,0,0,17
77c7d76b-f41c-4ea0-9a1a-729ff72a70c5,6,0,15,31
edda4ee1-c273-47d3-966d-be944be6e749,4,2,0,10
f010cd92-b66b-41c0-8dcd-5ed86db0166d,6,0,18,105
ceaedb22-aaf0-4b24-9652-139e071f4d6e,9,0,1,9
78d85641-84be-4f50-9336-9b1065d67d57,20,10,1,40
0f09ab6a-d059-41b3-88c3-5d3fe88beb6c,3,0,0,3
3a2cb16d-25ff-4d3a-98f7-3e048d1cc720,3,0,0,3
8e7971f3-357d-441e-b877-2cf6a16a553b,23,0,0,23
94f3d4fa-dea8-40af-b7f3-c2189eb089bf,11,0,0,18
b38df00e-1609-4ccb-b83c-cccc6040aa8a,7,12,0,21
a856eb2f-baa0-425d-95d9-7f35323d4678,10,0,0,10
825e4422-4893-442b-bbaf-df011253c061,2,0,0,2
29b62d7f-61bf-4622-bd2c-af5044a398b5,9,0,0,31
4e32ddb6-7ed6-4d7a-8a06-4fb018be3c83,7,0,0,41
cbdf5356-df86-4614-aa16-eae019d05508,22,0,0,251
f898ac3f-626f-4108-92b3-bdd27312a56c,7,0,0,7
61ad7c89-10d7-4920-9081-b56a7435c9ac,10,0,0,10
1a9b25db-860a-4363-ac63-e3a8cfa5322c,16,0,0,16
33ce0158-cf03-489c-8421-1a59759f4b8c,21,0,0,64
806df195-5400-464d-9047-c19dea222d84,27,0,0,43
2e3fd46d-2808-4f6a-8dd6-8d6cff26a1af,5,0,0,5
fc46fb74-0588-45fd-a6f1-2ba9bab0c602,17,0,0,57
f9ea1894-7e79-4971-8c28-01b50a63b81e,16,0,0,17
f55bc711-2def-418f-8aee-d26863d0e34a,2,4,0,4
d9316363-8ff3-4b3c-92f5-21501a51843a,14,2,4,69
0a5c8590-9d10-4cfd-be1b-4d384e04256f,1,0,6,5
cb4b8e4b-de4c-4f86-91d9-f92d603ba522,10,0,0,10
31111446-6831-4dc4-aaf5-4c2f6c44bc06,5,0,0,5
6adc277d-fe09-4c7a-87b2-53b365851b17,3,0,0,3
bccddfa4-3b12-4cb8-a2eb-1db3632f6802,1,0,0,1
a2b31d26-b026-4dc7-9324-0015b4a05f8f,1,0,1,4
0a6f804f-9f05-4f8e-bb39-72b6b5fc8f2e,9,0,0,17
c1e77c82-6415-4c7a-b084-4d80e9748ca9,1,0,2,1
f5f2b752-7ff0-40f3-ab04-de6447d2d498,13,1,0,13
b07ebb83-03e0-4615-9075-7c794a6f6d8d,1,2,0,13
03c32df3-91b4-4573-828f-14fd14e90c14,4,2,4,9
60db7612-2270-46bc-ab3b-862abf382121,2,0,1,143
25dbbebe-0040-4942-91fd-3fd5b798543b,2,0,0,2
bbc7cc59-a346-4858-8b5c-858bb46d4ea1,20,29,1,82
f0f07400-90f5-41cb-ae2c-cf359ded8b9c,1,6,0,6
266b2335-cf10-448b-b6cb-7d904ff5d256,4,0,0,19
080f5f3e-81d0-42be-944d-e42544a180cf,14,0,0,14
124279a0-6952-48dd-9987-606354097a03,19,0,0,82
3f8863ad-17ea-470b-8f61-f25c62635c11,5,0,0,12
e9bba09d-00ab-495f-819d-b467b67f08fb,7,0,0,10
458e72f8-7d87-483e-b9bd-19c77577fe36,17,0,0,17
407e1176-63a5-4fc5-964c-eefea298b963,9,0,0,10
78037262-1bd2-4d43-94dc-f2c1221839ac,7,0,0,30
d0a604d4-6c1f-47aa-a81f-05726f1e0429,12,0,0,28
307e4e6a-714f-4764-8410-09faf39d73c4,5,1,2,82
8611690d-7067-4a88-a46f-13f9b120b2f6,3,0,0,3
e15694a3-f69d-43b7-b4a4-cf1d5353dce4,6,0,0,20
324596ce-1831-4f6e-a805-952366c9db10,9,0,0,9
9c9289b5-a40b-456d-9bf9-44f997eeba14,13,0,0,27
fb8da9e7-6139-4f46-8dd4-b8ad460dc240,5,0,0,29
74977536-bd3e-43f7-b8a0-ee007f57d8f5,6,0,2,18
8c8acb83-c284-407c-a03e-7892ba44d212,2,7,0,17
f8e579f3-f23a-4fee-a9b6-b440dafcea62,9,0,0,61
d9fc1ce5-4ef0-4210-bf01-c16de6214000,8,0,0,30
129552b7-d406-46c6-a1ed-62244ac345ab,6,0,0,14
87dc2ec9-064c-407b-87b7-91f6e1627865,16,0,0,20
f3573cee-f7d6-4fa5-9a80-161091701cdf,9,0,0,16
0cba7e32-461b-4fe5-b66d-f6b196988e71,3,0,0,5
20ddc7c7-4855-47c3-95a5-70e9f47f3451,6,0,0,14
c734cf6a-f027-4d4e-a08b-b935acf52b48,17,1,0,55
b23d4cdf-49ea-402f-8680-af76d405fa5b,24,0,0,48
e002a8d5-28f2-4b23-ac91-5cbe60037419,2,0,0,2
176d96e5-0076-4db2-a529-864e0a883fdb,9,0,3,13
a0abca1d-eb72-43db-a88b-85e6fc76c4de,1,2,1,12
ee03a3b8-20a0-4573-b3e7-7fcda06b9a07,11,0,0,25
9ee00a30-9923-4fd6-9a0e-64507d145a65,2,0,0,2
eda49c4d-a35e-486d-9c97-33c89ef6f10b,8,1,0,8
7c378ef5-7a30-4291-bd83-c8db4b161175,4,5,0,18
5fbb595f-46b9-4755-9153-9178754415a1,5,0,0,12
1d7be166-fdf9-4fe0-b0bf-b1c4a1b937f6,12,6,3,54
8ed9220b-a8f8-490f-a054-9de343a0d488,23,9,0,120
28187ff8-9962-4918-833b-aff5e8aa2d4c,28,0,1,256
31a3c1f4-274e-45b8-a59a-9f52d8be30bb,5,7,0,19
5f162457-5569-40af-901c-feebacc4d97f,4,0,0,4
7dd7b478-3465-40e6-abfd-605434b9c81d,11,0,0,24
69d90e68-a0be-4344-99c3-cf1914fa5584,5,2,0,5
7eae3cce-48dc-4b4a-8b55-f22f4b374bbd,7,0,0,23
119f19f7-f665-48e5-b4db-c04b10eb608c,3,5,0,3
211a7eaf-f9e3-4400-8b0c-ae2cdc559f86,1,2,0,0
0aff0ca7-9f32-4067-b068-822db3bbb056,21,4,0,89
dce68fff-4a0c-432f-b769-7d3456ba3eb7,6,0,0,47
2f23ae43-eec4-4851-9418-908e4582a5c8,9,0,0,9
551439f8-e42a-4cb3-a4f0-bcb9841a7172,1,14,0,0
7245b538-ed9b-4474-af79-74d1a4b2652e,24,0,0,61
b5893587-1534-4441-befb-5e9e2ade66ac,6,0,6,42
8c85f7a8-6453-4dda-8bcb-3f423b6563f2,4,1,0,14
4e396e9a-dc00-4100-a26c-5548a831e13d,19,0,0,26
9840e978-1108-490f-97ee-3adfb91a4f30,2,19,15,16
1d42c8c6-a72e-48a3-a619-fac6ae2cbee9,4,0,0,13
15274b84-f61a-4945-b016-5146245eb52d,5,0,0,16
c55127da-9877-4b62-aa93-7ccdc595d1e4,16,0,0,21
